[2025-11-06 15:31:38] - IR_1 | IR | Intrusion detected by IR_1 (IR)!
[2025-11-06 15:32:25] - IR_1 | IR | Intrusion detected by IR_1 (IR)!
[2025-11-06 15:32:55] - IR_1 | IR | Intrusion detected by IR_1 (IR)!
[2025-11-06 15:33:11] - Sound_1 | Sound | Intrusion detected by Sound_1 (Sound)!
[2025-11-06 15:33:28] - IR_1 | IR | Intrusion detected by IR_1 (IR)!
[2025-11-06 15:33:47] - Sound_1 | Sound | Intrusion detected by Sound_1 (Sound)!
[2025-11-06 15:35:08] - Sound_1 | Sound | Intrusion detected by Sound_1 (Sound)!
[2025-11-06 15:35:26] - Sound_1 | Sound | Intrusion detected by Sound_1 (Sound)!
[2025-11-06 15:37:30] - IR_1 | IR | Intrusion detected by IR_1 (IR)!
[2025-11-06 15:37:55] - Sound_1 | Sound | Intrusion detected by Sound_1 (Sound)!
[2025-11-06 15:38:14] - IR_1 | IR | Intrusion detected by IR_1 (IR)!
[2025-11-06 15:38:30] - Sound_1 | Sound | Intrusion detected by Sound_1 (Sound)!
[2025-11-06 15:38:51] - Sound_1 | Sound | Intrusion detected by Sound_1 (Sound)!
[2025-11-06 15:39:17] - Sound_1 | Sound | Intrusion detected by Sound_1 (Sound)!
[2025-11-06 15:40:38] - IR_1 | IR | Intrusion detected by IR_1 (IR)!
[2025-11-06 15:41:08] - Sound_1 | Sound | Intrusion detected by Sound_1 (Sound)!
[2025-11-06 16:18:53] - IR_1 | IR | Intrusion detected by IR_1 (IR)!
[2025-11-06 16:19:01] - Sound_1 | Sound | Intrusion detected by Sound_1 (Sound)!
[2025-11-06 16:19:17] - Sound_1 | Sound | Intrusion detected by Sound_1 (Sound)!
[2025-11-06 16:32:44] - IR_1 | IR | Intrusion detected by IR_1 (IR)!
[2025-11-06 16:33:29] - Sound_1 | Sound | Intrusion detected by Sound_1 (Sound)!
